Date,Price,,,,
5/20/2021,123.25,,,,
5/21/2021,123.88,,,,
5/24/2021,123.38,,,,
5/25/2021,123.88,,,,
5/26/2021,124.25,,,,
5/27/2021,124.25,,,,
5/28/2021,124.38,,,,
5/31/2021,124.38,,,,
6/1/2021,124.25,,,,
6/2/2021,124,,,,
6/3/2021,123.5,,,,
6/4/2021,123.38,,,,
6/7/2021,123.88,,,,
6/8/2021,124.38,,,,
6/9/2021,124.88,,,,
6/10/2021,124.75,,,,
6/11/2021,125.5,,,,
6/14/2021,125.38,,,,
6/15/2021,124.88,,,,
6/16/2021,124.75,,,,
6/17/2021,124.38,,,,
6/18/2021,125.38,,,,
6/21/2021,125.88,,,,
6/22/2021,125.25,,,,
6/23/2021,125.38,,,,
6/24/2021,125.12,,,,
6/25/2021,125.38,,,,
6/28/2021,125.38,,,,
6/29/2021,125.5,,,,
6/30/2021,125.62,,,,
7/1/2021,125.25,,,,
7/2/2021,125.62,,,,
7/5/2021,125.5,,,,
7/6/2021,125.5,,,,
7/7/2021,126.12,,,,
7/8/2021,126.62,,,,
7/9/2021,126.38,,,,
7/12/2021,126.5,,,,
7/13/2021,126.5,,,,
7/14/2021,126.62,,,,
7/15/2021,126.75,,,,
7/16/2021,126.88,,,,
7/19/2021,126.88,,,,
7/20/2021,127.12,,,,
7/21/2021,127.12,,,,
7/22/2021,127,,,,
7/23/2021,127.12,,,,
7/26/2021,127,,,,
7/27/2021,127.25,,,,
7/28/2021,127,,,,
7/29/2021,127,,,,
7/30/2021,127,,,,
8/2/2021,127.25,,,,
8/3/2021,127.5,,,,
8/4/2021,128.75,,,,
8/5/2021,129,,,,
8/6/2021,128.88,,,,
8/9/2021,128.88,,,,
8/10/2021,128.75,,,,
8/11/2021,127.62,,,,
8/12/2021,127.62,,,,
8/13/2021,128.12,,,,
8/16/2021,128.5,,,,
8/17/2021,129.25,,,,
8/18/2021,127.88,,,,
8/19/2021,129.12,,,,
8/20/2021,129.12,,,,
8/23/2021,129,,,,
8/24/2021,129.12,,,,
8/25/2021,129.25,,,,
8/26/2021,128.75,,,,
8/27/2021,128.88,,,,
8/30/2021,129.25,,,,
8/31/2021,129.38,,,,
9/1/2021,129.63,,,,
9/2/2021,129.5,,,,
9/3/2021,129.88,,,,
9/7/2021,129.13,,,,
9/8/2021,129.38,,,,
9/9/2021,129.5,,,,
9/10/2021,130,,,,
9/13/2021,130.13,,,,
9/14/2021,130.38,,,,
9/15/2021,131.13,,,,
9/16/2021,131.25,,,,
9/17/2021,131.13,,,,
9/20/2021,130.88,,,,
9/21/2021,130.88,,,,
9/22/2021,131.13,,,,
9/23/2021,130.75,,,,
9/24/2021,129.25,,,,
9/27/2021,128.13,,,,
9/28/2021,126.38,,,,
9/29/2021,127,,,,
9/30/2021,126.88,,,,
10/1/2021,126.38,,,,
10/4/2021,125.63,,,,
10/5/2021,124.75,,,,
10/6/2021,123.88,,,,
10/7/2021,125.25,,,,
10/8/2021,124.38,,,,
10/13/2021,125.5,,,,
10/14/2021,127.13,,,,
10/15/2021,127,,,,
